order,bytes_total,mean_recall,normalized_recall,mean_absence_ceiling
sequential,0.0,0.0,0.0,0.0
sequential,56400000.0,0.00486,0.004959892229502173,0.009680000000000001
sequential,112800000.0,0.012920000000000001,0.013185557120404954,0.01994
sequential,282000000.0,0.04288,0.04376135366276814,0.0499
sequential,564000000.0,0.0948,0.096748515093993,0.10084000000000001
sequential,846000000.0,0.14481999999999998,0.14779662400751123,0.1503
sequential,1128000000.0,0.19484,0.1988447329210295,0.19990000000000002
sequential,1692000000.0,0.29773999999999995,0.3038597350641927,0.30378
sequential,2820000000.0,0.4943,0.5044598207907252,0.503
sequential,3948000000.0,0.68972,0.7038964750066334,0.7010799999999999
sequential,4230000000.0,0.7374799999999999,0.7526381319780374,0.7506
sequential,4512000000.0,0.78572,0.8018696548486517,0.7996800000000001
sequential,4794000000.0,0.8344400000000002,0.8515910436184762,0.8499800000000001
sequential,5076000000.0,0.8834200000000001,0.9015777764170391,0.9002600000000002
sequential,5358000000.0,0.9314600000000002,0.9506051884963158,0.95026
sequential,5640000000.0,0.9798600000000001,0.9999999999999999,1.0
in_degree,0.0,0.0,0.0,0.0
in_degree,56400000.0,0.020819999999999998,0.0212479333782377,0.03250000000000001
in_degree,112800000.0,0.047420000000000004,0.04839466862613026,0.0585
in_degree,282000000.0,0.11451999999999998,0.11687383911987423,0.12444000000000001
in_degree,564000000.0,0.20344,0.20762149694854365,0.21258000000000002
in_degree,846000000.0,0.28378000000000003,0.28961280182883264,0.2924
in_degree,1128000000.0,0.35316000000000003,0.3604188353438246,0.3625
in_degree,1692000000.0,0.4774799999999999,0.48729410323923805,0.48728
in_degree,2820000000.0,0.6768,0.6907109178862285,0.68948
in_degree,3948000000.0,0.8249200000000001,0.8418753699508092,0.8397600000000002
in_degree,4230000000.0,0.85572,0.8733084318167901,0.87156
in_degree,4512000000.0,0.8846,0.9027820300859305,0.9012
in_degree,4794000000.0,0.91166,0.9303982201538994,0.9294600000000002
in_degree,5076000000.0,0.93858,0.9578715326679319,0.9569
in_degree,5358000000.0,0.9617,0.9814667401465513,0.98072
in_degree,5640000000.0,0.9798600000000001,0.9999999999999999,1.0
random_avg5seeds,0.0,0.0,0.0,
random_avg5seeds,56400000.0,0.0,0.0,
random_avg5seeds,112800000.0,0.001904,0.0019431347335333617,
random_avg5seeds,282000000.0,0.032848,0.03352315636927724,
random_avg5seeds,564000000.0,0.08549599999999999,0.08725328108097072,
random_avg5seeds,846000000.0,0.136896,0.13970975445471798,
random_avg5seeds,1128000000.0,0.187148,0.1909946318861878,
random_avg5seeds,1692000000.0,0.28709999999999997,0.2930010409650357,
random_avg5seeds,2820000000.0,0.48548,0.4954585348927397,
random_avg5seeds,3948000000.0,0.683276,0.697320025309738,
random_avg5seeds,4230000000.0,0.7325479999999999,0.7476047598636537,
random_avg5seeds,4512000000.0,0.7824359999999999,0.7985181556548893,
random_avg5seeds,4794000000.0,0.8314560000000002,0.8485457106117201,
random_avg5seeds,5076000000.0,0.880876,0.8989814871512255,
random_avg5seeds,5358000000.0,0.930012,0.9491274263670318,
random_avg5seeds,5640000000.0,0.9798600000000001,0.9999999999999999,
